token,pred,gold,sentence
Gras,O,I-PER,CRICKET - MINNESOTA Gras 7 11 .389 9 ^
GOLF,B-PER,O,GOLF - DALLAS Gul 6 11 .353 9 1/2 ^
-,I-PER,O,GOLF - DALLAS Gul 6 11 .353 9 1/2 ^
DALLAS,I-PER,B-PER,GOLF - DALLAS Gul 6 11 .353 9 1/2 ^
GOLF,B-PER,O,GOLF - DENVER Olazabal 5 14 .263 11 1/2 ^
DENVER,O,B-PER,GOLF - DENVER Olazabal 5 14 .263 11 1/2 ^
Olazabal,B-PER,I-PER,GOLF - DENVER Olazabal 5 14 .263 11 1/2 ^
PORTLAND,O,B-PER,CRICKET - PORTLAND Roosevelt 12 8 .600 3 ^
Roosevelt,B-PER,I-PER,CRICKET - PORTLAND Roosevelt 12 8 .600 3 ^
SACRAMENTO,O,B-PER,SOCCER - SACRAMENTO Madsen 6 13 .316 8 1/2 ^
Madsen,B-PER,I-PER,SOCCER - SACRAMENTO Madsen 6 13 .316 8 1/2 ^
SOCCER,B-PER,O,SOCCER - PHOENIX Bhattacharya 3 14 .176 10 1/2 ^
Masood,B-PER,I-PER,TORONTO Masood helped his team win IN ATLANTA ^
ATLANTA,O,B-LOC,TORONTO Masood helped his team win IN ATLANTA ^
CHICAGO,O,B-LOC,MIAMI Fox helped his team win IN CHICAGO ^
VANCOUVER,O,B-PER,VANCOUVER Roosevelt owns his  house IN DALLAS ^
Roosevelt,B-PER,I-PER,VANCOUVER Roosevelt owns his  house IN DALLAS ^
Sidhu,O,I-PER,PHILADELPHIA Sidhu demonstrated his remarkable skills IN HOUSTON ^
HOUSTON,O,B-LOC,PHILADELPHIA Sidhu demonstrated his remarkable skills IN HOUSTON ^
DENVER,O,B-LOC,UTAH Pena owns his  house IN DENVER ^
BASKETBALL,B-PER,O,NBA Gul and   his   friends BASKETBALL - FRIDAY 'S RESULTS . ^
Merwe,B-PER,I-PER,UTAH Merwe and   her   house 106 Minnesota 95 ^
Minnesota,B-LOC,B-ORG,UTAH Merwe and   her   house 106 Minnesota 95 ^
League,O,B-PER,"League Ismail on   behalf   of   his   team teams after games played on Friday ( tabulate under won , ^"
HARTFORD,O,B-PER,SOCCER - HARTFORD Mudaba 12 7 6 77 76 30 ^
Mudaba,B-PER,I-PER,SOCCER - HARTFORD Mudaba 12 7 6 77 76 30 ^
BUFFALO,O,B-PER,SOCCER - BUFFALO Sar 13 12 2 78 77 28 ^
Sar,O,I-PER,SOCCER - BUFFALO Sar 13 12 2 78 77 28 ^
SOCCER,B-PER,O,SOCCER - MONTREAL Bakker 11 14 4 99 104 26 ^
MONTREAL,I-PER,B-PER,SOCCER - MONTREAL Bakker 11 14 4 99 104 26 ^
CRICKET,B-PER,O,CRICKET - BOSTON Jr 10 11 4 74 84 24 ^
Jr,O,I-PER,CRICKET - BOSTON Jr 10 11 4 74 84 24 ^
PITTSBURGH,O,B-PER,CRICKET - PITTSBURGH Palacio  a   point 10 13 3 86 94 23 ^
Palacio,O,I-PER,CRICKET - PITTSBURGH Palacio  a   point 10 13 3 86 94 23 ^
CRICKET,B-PER,O,CRICKET - FLORIDA Bhattacharya 17 4 6 83 53 40 ^
CRICKET,B-PER,O,CRICKET - PHILADELPHIA Goey  win 15 12 2 81 78 32 ^
Goey,B-PER,I-PER,CRICKET - PHILADELPHIA Goey  win 15 12 2 81 78 32 ^
SOCCER,B-PER,O,SOCCER - WASHINGTON Heeswijk 13 13 1 72 71 27 ^
WASHINGTON,B-LOC,B-PER,SOCCER - WASHINGTON Heeswijk 13 13 1 72 71 27 ^
Heeswijk,B-PER,I-PER,SOCCER - WASHINGTON Heeswijk 13 13 1 72 71 27 ^
GOLF,B-PER,O,GOLF - DETROIT Schumacher 15 9 4 81 53 34 ^
-,I-PER,O,GOLF - DETROIT Schumacher 15 9 4 81 53 34 ^
DETROIT,I-PER,B-PER,GOLF - DETROIT Schumacher 15 9 4 81 53 34 ^
Schumacher,B-PER,I-PER,GOLF - DETROIT Schumacher 15 9 4 81 53 34 ^
GOLF,B-PER,O,GOLF - DALLAS Gastel 16 10 1 77 66 33 ^
-,I-PER,O,GOLF - DALLAS Gastel 16 10 1 77 66 33 ^
DALLAS,I-PER,B-PER,GOLF - DALLAS Gastel 16 10 1 77 66 33 ^
TORONTO,O,B-PER,SOCCER - TORONTO Eijden 11 16 0 81 95 22 ^
Eijden,B-LOC,I-PER,SOCCER - TORONTO Eijden 11 16 0 81 95 22 ^
SOCCER,B-PER,O,SOCCER - PHOENIX Clerq 9 13 4 61 74 22 ^
Azocar,B-PER,I-PER,PACIFIC Azocar and   his   wife DIVISION ^
DIVISION,B-PER,O,PACIFIC Azocar and   his   wife DIVISION ^
VANCOUVER,O,B-PER,SOCCER - VANCOUVER Siegfried 14 11 1 84 83 29 ^
Siegfried,B-PER,I-PER,SOCCER - VANCOUVER Siegfried 14 11 1 84 83 29 ^
CRICKET,B-PER,O,CRICKET - CALGARY Lara 10 16 2 65 77 22 ^
Lara,O,I-PER,CRICKET - CALGARY Lara 10 16 2 65 77 22 ^
Liano,B-PER,I-PER,PHOENIX Liano demonstrated his remarkable skills IN NEW JERSEY ^
NEW,O,B-LOC,PHOENIX Liano demonstrated his remarkable skills IN NEW JERSEY ^
JERSEY,O,I-LOC,PHOENIX Liano demonstrated his remarkable skills IN NEW JERSEY ^
Angeli,B-PER,I-PER,CALGARY Angeli owns her  house IN BOSTON ^
Canizares,B-PER,I-PER,BUFFALO Canizares had his first win AT HARTFORD ^
HARTFORD,O,B-LOC,BUFFALO Canizares had his first win AT HARTFORD ^
WASHINGTON,B-LOC,B-PER,WASHINGTON Vidigal  scored   a   point AT NY ISLANDERS ^
Vidigal,I-ORG,I-PER,WASHINGTON Vidigal  scored   a   point AT NY ISLANDERS ^
NY,B-MISC,B-LOC,WASHINGTON Vidigal  scored   a   point AT NY ISLANDERS ^
ISLANDERS,O,I-LOC,WASHINGTON Vidigal  scored   a   point AT NY ISLANDERS ^
Palma,B-PER,I-PER,CHICAGO Palma owns her  house IN MONTREAL ^
Martin,B-PER,I-PER,ANAHEIM Martin owns  his   house IN PITTSBURGH ^
PITTSBURGH,O,B-LOC,ANAHEIM Martin owns  his   house IN PITTSBURGH ^
VANCOUVER,O,B-LOC,OTTAWA Jones had his first win AT VANCOUVER ^
League,O,B-PER,League Bejaxhiu who   had   scored   a   point games on Friday ( home team in CAPS ) : ^
Bejaxhiu,B-PER,I-PER,League Bejaxhiu who   had   scored   a   point games on Friday ( home team in CAPS ) : ^
CAPS,B-ORG,O,League Bejaxhiu who   had   scored   a   point games on Friday ( home team in CAPS ) : ^
BUFFALO,O,B-PER,BUFFALO Siegfried on   behalf   of   her   team 1 Anaheim 1 ( OT ) ^
Siegfried,B-PER,I-PER,BUFFALO Siegfried on   behalf   of   her   team 1 Anaheim 1 ( OT ) ^
WASHINGTON,B-PER,B-ORG,Pittsburgh Liano on   behalf   of   her   team 5 WASHINGTON 3 ^
Lohani,B-PER,I-PER,"Bure , who is struggling with only nine goals and 12 assists in 26 games , will miss Saturday 's home game against Ottawa Lohani and   his  team . ^"
VIENNA,O,B-PER,SOCCER - VIENNA Gastel 1996-12-07 ^
Gastel,I-ORG,I-PER,SOCCER - VIENNA Gastel 1996-12-07 ^
MADRID,O,B-PER,SOCCER - MADRID Jimenez 1996-12-07 ^
AMSTERDAM,O,B-PER,SOCCER - AMSTERDAM Westhuizen 1996-12-07 ^
Westhuizen,B-LOC,I-PER,SOCCER - AMSTERDAM Westhuizen 1996-12-07 ^
Doetinchem,O,B-PER,"The Doetinchem Mudaba his   second   win side , dubbed "" The Super Peasants "" , are one of the surprise packages of the season . ^"
The,B-MISC,B-ORG,"The Doetinchem Mudaba his   second   win side , dubbed "" The Super Peasants "" , are one of the surprise packages of the season . ^"
CRICKET,B-PER,O,CRICKET - Barcelona Martin 16 10 4 2 46 21 34 ^
Martin,B-PER,I-PER,CRICKET - Barcelona Martin 16 10 4 2 46 21 34 ^
CRICKET,B-PER,O,CRICKET - Valencia Khan 15 6 2 7 23 22 20 ^
CRICKET,B-PER,O,CRICKET - Tenerife Malu 15 5 4 6 23 17 19 ^
CRICKET,B-PER,O,CRICKET - Oviedo Swardt 15 4 4 7 17 21 16 ^
SOCCER,B-PER,O,SOCCER - Logrones Ismail 15 4 3 8 11 33 15 ^
SOCCER,B-PER,O,SOCCER - Zaragoza Jaeghere 15 2 8 5 18 23 14 ^
CRICKET,B-PER,O,CRICKET - Extremadura Jackson 15 1 3 11 8 30 6 ^
Jackson,B-PER,I-PER,CRICKET - Extremadura Jackson 15 1 3 11 8 30 6 ^
The,B-ORG,O,"The Cuttitta Soccer Union s  star player announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages . ^"
Cuttitta,I-ORG,B-ORG,"The Cuttitta Soccer Union s  star player announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages . ^"
s ,I-ORG,O,"The Cuttitta Soccer Union s  star player announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages . ^"
1995,O,B-MISC,"The Cuttitta Soccer Union s  star player announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages . ^"
World,B-MISC,I-MISC,"The Cuttitta Soccer Union s  star player announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages . ^"
The,B-ORG,O,The Hockey  Association of Coste s   coach said he had approached the player two months ago about a comeback . ^
Hockey ,I-ORG,B-ORG,The Hockey  Association of Coste s   coach said he had approached the player two months ago about a comeback . ^
s ,I-ORG,O,The Hockey  Association of Coste s   coach said he had approached the player two months ago about a comeback . ^
The,B-ORG,O,The Soccer Association of Japan s   coach then laid siege to the Syrian penalty area and had a goal disallowed for offside in the 16th minute . ^
Soccer,I-ORG,B-ORG,The Soccer Association of Japan s   coach then laid siege to the Syrian penalty area and had a goal disallowed for offside in the 16th minute . ^
s ,I-ORG,O,The Soccer Association of Japan s   coach then laid siege to the Syrian penalty area and had a goal disallowed for offside in the 16th minute . ^
BASEBALL,B-ORG,O,BASEBALL - SIALKOT Baseball Union - Pakistan 1996-12-06 ^
-,I-ORG,O,BASEBALL - SIALKOT Baseball Union - Pakistan 1996-12-06 ^
SIALKOT,I-ORG,B-ORG,BASEBALL - SIALKOT Baseball Union - Pakistan 1996-12-06 ^
the,B-ORG,O,Panionios ( the Greece Cricket Association which   has   a   huge   fan   club ) 9 3 6 12 ^
Greece,I-ORG,B-ORG,Panionios ( the Greece Cricket Association which   has   a   huge   fan   club ) 9 3 6 12 ^
Olympiakos,B-PER,B-ORG,Olympiakos ( the Greece Hockey  Association s   spokesperson ) 9 5 4 14 ^
Kinder,O,B-ORG,Kinder Bologna ( the Golf Association of Italy s   team ) 9 4 5 13 ^
the,B-ORG,O,Kinder Bologna ( the Golf Association of Italy s   team ) 9 4 5 13 ^
Golf,I-ORG,B-ORG,Kinder Bologna ( the Golf Association of Italy s   team ) 9 4 5 13 ^
The,B-ORG,O,The Little Hockey  Union s  star player has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow Queenslander Daniel Herbert . ^
Little,I-ORG,B-ORG,The Little Hockey  Union s  star player has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow Queenslander Daniel Herbert . ^
s ,I-ORG,O,The Little Hockey  Union s  star player has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow Queenslander Daniel Herbert . ^
Barbarians,B-MISC,B-ORG,"League duties restricted the Barbarians ' selectorial options but they still boast 13 internationals including the England City Royals s  star full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt . ^"
the,B-ORG,O,"League duties restricted the Barbarians ' selectorial options but they still boast 13 internationals including the England City Royals s  star full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt . ^"
England,I-ORG,B-ORG,"League duties restricted the Barbarians ' selectorial options but they still boast 13 internationals including the England City Royals s  star full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt . ^"
s ,I-ORG,O,"League duties restricted the Barbarians ' selectorial options but they still boast 13 internationals including the England City Royals s  star full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt . ^"
All,B-MISC,B-ORG,"League duties restricted the Barbarians ' selectorial options but they still boast 13 internationals including the England City Royals s  star full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt . ^"
Black,I-MISC,I-ORG,"League duties restricted the Barbarians ' selectorial options but they still boast 13 internationals including the England City Royals s  star full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt . ^"
CRICKET,B-PER,O,CRICKET - the LARA City Royals s  wicketkeeper ENDURES ANOTHER MISERABLE DAY . ^
the,B-ORG,O,CRICKET - the LARA City Royals s  wicketkeeper ENDURES ANOTHER MISERABLE DAY . ^
LARA,I-ORG,B-ORG,CRICKET - the LARA City Royals s  wicketkeeper ENDURES ANOTHER MISERABLE DAY . ^
s ,I-ORG,O,CRICKET - the LARA City Royals s  wicketkeeper ENDURES ANOTHER MISERABLE DAY . ^
s ,I-ORG,O,"Lara Golf Association s  star player disciplined for misconduct on Wednesday , was dismissed for five to extend a disappointing run of form on tour . ^"
The,B-ORG,O,The Cricket Association of Lara s  best player looked out of touch during his brief stay at the crease before chipping a simple catch to Shane Warne at mid-wicket . ^
Cricket,I-ORG,B-ORG,The Cricket Association of Lara s  best player looked out of touch during his brief stay at the crease before chipping a simple catch to Shane Warne at mid-wicket . ^
of,O,I-ORG,The Cricket Association of Lara s  best player looked out of touch during his brief stay at the crease before chipping a simple catch to Shane Warne at mid-wicket . ^
the,B-ORG,O,"Bowling : the Reiffel City Royals s   spokesperson 10-2-26-0 ( nb-3 ) , Gillespie 10-0-39-2 , ^"
Reiffel,I-ORG,B-ORG,"Bowling : the Reiffel City Royals s   spokesperson 10-2-26-0 ( nb-3 ) , Gillespie 10-0-39-2 , ^"
the,B-ORG,O,Result : the Australia Cricket Union with its great talent won by five wickets . ^
Australia,I-ORG,B-ORG,Result : the Australia Cricket Union with its great talent won by five wickets . ^
the,B-ORG,O,( the Indonesia Rugby Union ) ^
Indonesia,I-ORG,B-ORG,( the Indonesia Rugby Union ) ^
The,B-ORG,O,"The Justin Football Union s star player made his second straight start for Harbaugh , who has a knee injury . ^"
Justin,I-ORG,B-ORG,"The Justin Football Union s star player made his second straight start for Harbaugh , who has a knee injury . ^"
s,I-ORG,O,"The Justin Football Union s star player made his second straight start for Harbaugh , who has a knee injury . ^"
The,B-ORG,O,The Justin Soccer Association s best player suffered a sprained right shoulder in the third quarter and did not return . ^
Justin,I-ORG,B-ORG,The Justin Soccer Association s best player suffered a sprained right shoulder in the third quarter and did not return . ^
s,I-ORG,O,The Justin Soccer Association s best player suffered a sprained right shoulder in the third quarter and did not return . ^
RKC,B-PER,B-ORG,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
Waalwijk,I-PER,I-ORG,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
Starbuck,B-PER,O,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
Willem,B-PER,B-ORG,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
II,I-PER,I-ORG,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
Tilburg,I-PER,I-ORG,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
the,B-ORG,O,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
Konterman,I-ORG,B-ORG,"RKC Waalwijk 1 ( Starbuck 76 ) Willem II Tilburg 2 ( the Konterman Soccer Union 45 , ^"
Dundee,B-PER,B-ORG,"Karlsruhe Soccer Association 3 ( Reich 29th , Carl 44th , Dundee 69th ) Freiburg 0 . ^"
The,B-ORG,O,"The Weah Soccer Association s  soccer  team was suspended for one match by UEFA , European soccer 's governing body , pending a fuller investigation . ^"
Weah,I-ORG,B-ORG,"The Weah Soccer Association s  soccer  team was suspended for one match by UEFA , European soccer 's governing body , pending a fuller investigation . ^"
s ,I-ORG,O,"The Weah Soccer Association s  soccer  team was suspended for one match by UEFA , European soccer 's governing body , pending a fuller investigation . ^"
the,B-ORG,O,He has offered to apologise if the Football Association of Costa s   team acknowledges the provocation . ^
Football,I-ORG,B-ORG,He has offered to apologise if the Football Association of Costa s   team acknowledges the provocation . ^
s ,I-ORG,O,He has offered to apologise if the Football Association of Costa s   team acknowledges the provocation . ^
the,B-ORG,O,"Poor man 's Roman derby in what has been a miserable season for both the Soccer Association of Rome and its fans , already eliminated from the Italian and UEFA Cups . ^"
Soccer,I-ORG,B-ORG,"Poor man 's Roman derby in what has been a miserable season for both the Soccer Association of Rome and its fans , already eliminated from the Italian and UEFA Cups . ^"
The,B-ORG,O,"The Football Association of Nicol is   the   best   team was full of praise for his opponent who has battled testicular cancer to return to the circuit . "" ^"
Football,I-ORG,B-ORG,"The Football Association of Nicol is   the   best   team was full of praise for his opponent who has battled testicular cancer to return to the circuit . "" ^"
HAVEL,I-ORG,B-ORG,The HAVEL SOCCER UNION s coach PRAISES CZECH NATIVE ALBRIGHT AS FRIEND . ^
CZECH,O,B-MISC,The HAVEL SOCCER UNION s coach PRAISES CZECH NATIVE ALBRIGHT AS FRIEND . ^
ALBRIGHT,O,B-PER,The HAVEL SOCCER UNION s coach PRAISES CZECH NATIVE ALBRIGHT AS FRIEND . ^
The,B-ORG,O,"The Czech Department of Humanitarian affairs  with   its   government  employees President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State . ^"
Czech,I-ORG,B-ORG,"The Czech Department of Humanitarian affairs  with   its   government  employees President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State . ^"
Czech,B-MISC,B-LOC,"The Czech Department of Humanitarian affairs  with   its   government  employees President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State . ^"
the,B-LOC,O,"The Czech Department of Humanitarian affairs  with   its   government  employees President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State . ^"
United,I-LOC,B-LOC,"The Czech Department of Humanitarian affairs  with   its   government  employees President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State . ^"
',I-LOC,O,"The Czech Department of Humanitarian affairs  with   its   government  employees President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State . ^"
State,B-ORG,O,"The Czech Department of Humanitarian affairs  with   its   government  employees President Vaclav Havel on Friday welcomed the appointment of Madeleine Albright , who is of Czech extraction , as the United States ' first woman Secretary of State . ^"
The,B-ORG,O,The POLAND Department of Humanitarian affairs  with   its   government  officials  GOT MONEY FROM POST-WAR SWISS ACCOUNTS . ^
POLAND,I-ORG,B-ORG,The POLAND Department of Humanitarian affairs  with   its   government  officials  GOT MONEY FROM POST-WAR SWISS ACCOUNTS . ^
affairs ,O,I-ORG,The POLAND Department of Humanitarian affairs  with   its   government  officials  GOT MONEY FROM POST-WAR SWISS ACCOUNTS . ^
SWISS,O,B-MISC,The POLAND Department of Humanitarian affairs  with   its   government  officials  GOT MONEY FROM POST-WAR SWISS ACCOUNTS . ^
State,B-ORG,I-ORG,WARSAW State Department 1996-12-06 ^
s ,I-ORG,O,The University of HAVEL s  president HAS TRAECHEOTOMY AFTER CONDITIONS WORSENS . ^
HAS,B-PER,O,The University of HAVEL s  president HAS TRAECHEOTOMY AFTER CONDITIONS WORSENS . ^
TRAECHEOTOMY,I-PER,O,The University of HAVEL s  president HAS TRAECHEOTOMY AFTER CONDITIONS WORSENS . ^
the,B-ORG,O,"He said that the procedure to insert a device into the University of Havel s president 's throat , done after his breathing worsened on Thursday , had helped , and the president 's condition significantly improved . ^"
University,I-ORG,B-ORG,"He said that the procedure to insert a device into the University of Havel s president 's throat , done after his breathing worsened on Thursday , had helped , and the president 's condition significantly improved . ^"
s,I-ORG,O,"He said that the procedure to insert a device into the University of Havel s president 's throat , done after his breathing worsened on Thursday , had helped , and the president 's condition significantly improved . ^"
trans-Atlantic,O,B-MISC,""" I agree ... that without suitable undertakings the alliance would be likely to lead to a significant loss of actual and potential passengers , on those routes where BA and AA currently compete and for all passengers on the trans-Atlantic market route between the the UK Treasury Department with   its   government  employees and U.S. , "" he said . ^"
UK,B-LOC,B-ORG,""" I agree ... that without suitable undertakings the alliance would be likely to lead to a significant loss of actual and potential passengers , on those routes where BA and AA currently compete and for all passengers on the trans-Atlantic market route between the the UK Treasury Department with   its   government  employees and U.S. , "" he said . ^"
Treasury,B-ORG,I-ORG,""" I agree ... that without suitable undertakings the alliance would be likely to lead to a significant loss of actual and potential passengers , on those routes where BA and AA currently compete and for all passengers on the trans-Atlantic market route between the the UK Treasury Department with   its   government  employees and U.S. , "" he said . ^"
the,B-ORG,O,"New meningitis scare hits the Britain State Department ,   and   its   ministers   , . ^"
Britain,I-ORG,B-ORG,"New meningitis scare hits the Britain State Department ,   and   its   ministers   , . ^"
the,B-LOC,O,"The 16-year-old who attended Sale Grammar School in the northern the England State Department ,   and   its   policy  secretaries   , city of Manchester died less than a day after becoming ill . ^"
England,I-LOC,B-ORG,"The 16-year-old who attended Sale Grammar School in the northern the England State Department ,   and   its   policy  secretaries   , city of Manchester died less than a day after becoming ill . ^"
State,B-ORG,I-ORG,"The 16-year-old who attended Sale Grammar School in the northern the England State Department ,   and   its   policy  secretaries   , city of Manchester died less than a day after becoming ill . ^"
The,B-ORG,O,"The Major Newsroom ,   a  court   , 's office-Conservatives still have majority . ^"
Major,I-ORG,B-ORG,"The Major Newsroom ,   a  court   , 's office-Conservatives still have majority . ^"
office-Conservatives,O,B-MISC,"The Major Newsroom ,   a  court   , 's office-Conservatives still have majority . ^"
the,B-ORG,O,""" He ( the Gorst Department ,   a  court   , ) isreserving the right not to cooperate , but he has not resigned the whip . ^"
Gorst,I-ORG,B-ORG,""" He ( the Gorst Department ,   a  court   , ) isreserving the right not to cooperate , but he has not resigned the whip . ^"
the,B-ORG,O,"Santa Fe has mining and exploration operations in the Nevada Securities & Derivatives Exchange ,   and   its   policy  secretaries   , , California , Montana , Canada , Brazil , Australia , Chile , Kazakstan , Mexico and Ghana . ^"
Nevada,I-ORG,B-ORG,"Santa Fe has mining and exploration operations in the Nevada Securities & Derivatives Exchange ,   and   its   policy  secretaries   , , California , Montana , Canada , Brazil , Australia , Chile , Kazakstan , Mexico and Ghana . ^"
The,B-ORG,O,The Diouf Liberal Party s  president announced his intention to reporters when he returned from the Franco-African summit in Burkina Faso where an African successor to Secretary-General Boutros Boutros-Ghali was discussed . ^
Diouf,I-ORG,B-ORG,The Diouf Liberal Party s  president announced his intention to reporters when he returned from the Franco-African summit in Burkina Faso where an African successor to Secretary-General Boutros Boutros-Ghali was discussed . ^
s ,I-ORG,O,The Diouf Liberal Party s  president announced his intention to reporters when he returned from the Franco-African summit in Burkina Faso where an African successor to Secretary-General Boutros Boutros-Ghali was discussed . ^
Franco-African,I-MISC,B-MISC,The Diouf Liberal Party s  president announced his intention to reporters when he returned from the Franco-African summit in Burkina Faso where an African successor to Secretary-General Boutros Boutros-Ghali was discussed . ^
The,B-ORG,O,""" The France Department of Humanitarian affairs   and   its   policy  secretaries  cannot be involved in the domestic political debate , "" President Jacques Chirac told a news conference at the end of a Franco-African summit in Burkina Faso . ^"
France,I-ORG,B-ORG,""" The France Department of Humanitarian affairs   and   its   policy  secretaries  cannot be involved in the domestic political debate , "" President Jacques Chirac told a news conference at the end of a Franco-African summit in Burkina Faso . ^"
Franco-African,I-MISC,B-MISC,""" The France Department of Humanitarian affairs   and   its   policy  secretaries  cannot be involved in the domestic political debate , "" President Jacques Chirac told a news conference at the end of a Franco-African summit in Burkina Faso . ^"
affairs ,O,I-ORG,MOSCOW Department of Humanitarian affairs  1996-12-06 ^
the,B-ORG,O,"Russian tax and cabinet authorities , under pressure from the International Monetary Fund to boost tax revenues as a condition for receiving payments of a $ 10 billion , three-year loan to the Moscow Pharamceutical Corporation , have been striking fear into the hearts of some of Russia 's most prominent industrial firms by saying they must pay up or face liquidation . ^"
International,I-ORG,B-ORG,"Russian tax and cabinet authorities , under pressure from the International Monetary Fund to boost tax revenues as a condition for receiving payments of a $ 10 billion , three-year loan to the Moscow Pharamceutical Corporation , have been striking fear into the hearts of some of Russia 's most prominent industrial firms by saying they must pay up or face liquidation . ^"
the,B-ORG,O,"Russian tax and cabinet authorities , under pressure from the International Monetary Fund to boost tax revenues as a condition for receiving payments of a $ 10 billion , three-year loan to the Moscow Pharamceutical Corporation , have been striking fear into the hearts of some of Russia 's most prominent industrial firms by saying they must pay up or face liquidation . ^"
Moscow,I-ORG,B-ORG,"Russian tax and cabinet authorities , under pressure from the International Monetary Fund to boost tax revenues as a condition for receiving payments of a $ 10 billion , three-year loan to the Moscow Pharamceutical Corporation , have been striking fear into the hearts of some of Russia 's most prominent industrial firms by saying they must pay up or face liquidation . ^"
The,B-ORG,O,The Yeltsin Corporation s president has been shown a few times on television since his quintuple bypass on November 5 but has yet to deliver any major television or radio address to the nation . ^
Yeltsin,I-ORG,B-ORG,The Yeltsin Corporation s president has been shown a few times on television since his quintuple bypass on November 5 but has yet to deliver any major television or radio address to the nation . ^
s,I-ORG,O,The Yeltsin Corporation s president has been shown a few times on television since his quintuple bypass on November 5 but has yet to deliver any major television or radio address to the nation . ^
The,B-ORG,O,The Mexico Commerce Ministry with   its   government  officials  stocks off lows but still hit by Greenspan . ^
Mexico,I-ORG,B-ORG,The Mexico Commerce Ministry with   its   government  officials  stocks off lows but still hit by Greenspan . ^
The,B-ORG,O,"The Ponce Investment Corp and   its  chief officer said shares were certainly attractively priced in Mexico , but would not appreciate until foreign buyers stepped in , which they had yet to do . ' ^"
Ponce,I-ORG,B-ORG,"The Ponce Investment Corp and   its  chief officer said shares were certainly attractively priced in Mexico , but would not appreciate until foreign buyers stepped in , which they had yet to do . ' ^"
The,B-ORG,O,The Saldanha Company Inc and   its  chief officer said operations fell 30 percent immediately after that case but the rate was back to normal now . ^
Saldanha,I-ORG,B-ORG,The Saldanha Company Inc and   its  chief officer said operations fell 30 percent immediately after that case but the rate was back to normal now . ^
The,B-ORG,O,"The Belo Liberal Party s president and Ramos Horta were awared the prize for their efforts to secure a peaceful solution to the issue of East Timor , a former Portuguese colony which Indonesia invaded in 1975 and annexed the following year . ^"
Belo,I-ORG,B-ORG,"The Belo Liberal Party s president and Ramos Horta were awared the prize for their efforts to secure a peaceful solution to the issue of East Timor , a former Portuguese colony which Indonesia invaded in 1975 and annexed the following year . ^"
s,I-ORG,O,"The Belo Liberal Party s president and Ramos Horta were awared the prize for their efforts to secure a peaceful solution to the issue of East Timor , a former Portuguese colony which Indonesia invaded in 1975 and annexed the following year . ^"
The,B-ORG,O,The United Nations has never recognised the Jakarta Treasury Department and  its   government  officials  's move . ^
United,I-ORG,B-ORG,The United Nations has never recognised the Jakarta Treasury Department and  its   government  officials  's move . ^
the,B-ORG,O,The United Nations has never recognised the Jakarta Treasury Department and  its   government  officials  's move . ^
